"carat","cut","color","clarity","depth","table","price","x","y","z"
"0.38","Premium","G","VS2","59.7","62.0","918","4.68","4.66","2.79"
"1.0","Premium","E","VS1","61.4","59.0","7885","6.44","6.42","3.95"
"0.36","Ideal","D","SI1","62.7","57.0","851","4.59","4.54","2.86"
"0.53","Ideal","E","VS2","60.9","59.0","1607","5.17","5.21","3.16"
"0.53","Ideal","G","VVS1","61.3","56.0","2015","5.22","5.26","3.21"
"0.96","Ideal","F","VS1","61.7","56.0","4333","6.4","6.34","3.93"
"1.51","Premium","H","SI1","60.3","62.0","9762","7.54","7.41","4.51"
"2.42","Premium","J","VS2","61.3","59.0","17168","8.61","8.58","5.27"
"0.53","Ideal","H","SI1","62.4","59.0","1226","5.18","5.21","3.24"
"0.54","Ideal","G","VS1","61.0","57.0","1957","5.25","5.28","3.21"
"1.2","Very Good","H","SI1","61.2","57.0","6019","6.78","6.91","4.19"
"1.54","Ideal","G","VS2","60.6","57.0","13761","7.55","7.49","4.56"
"0.3","Ideal","D","SI2","62.0","56.0","426","4.31","4.34","2.68"
"0.31","Ideal","G","VS2","61.7","57.0","544","4.33","4.36","2.68"
"0.31","Premium","E","VS1","60.5","59.0","942","4.37","4.36","2.64"
"0.73","Premium","H","SI2","62.5","58.0","2234","5.73","5.69","3.57"
"1.01","Ideal","F","SI1","59.9","60.0","5215","6.59","6.53","3.93"
"0.4","Premium","G","VVS1","60.9","57.0","1200","4.8","4.76","2.91"
"0.31","Good","H","VS2","63.2","58.0","489","4.31","4.33","2.73"
"0.35","Ideal","I","VVS2","62.3","57.0","614","4.49","4.53","2.81"
"1.7","Ideal","I","VS1","62.2","55.0","12622","7.63","7.67","4.76"
"0.7","Very Good","D","VS1","61.2","56.0","3567","5.68","5.75","3.5"
"0.48","Fair","G","VVS2","65.0","54.0","1367","4.95","4.9","3.2"
"0.3","Ideal","H","IF","62.3","54.0","764","4.34","4.36","2.71"
"0.73","Fair","F","SI2","53.4","65.0","2164","6.19","6.15","3.3"
"2.13","Premium","F","SI2","61.5","58.0","17045","8.28","8.33","5.11"
"0.41","Premium","E","VS1","60.6","59.0","1079","4.77","4.8","2.9"
"0.5","Very Good","G","VVS2","62.4","56.0","1723","5.06","5.1","3.17"
"1.01","Good","E","SI1","63.6","60.0","5132","6.32","6.38","4.04"
"0.54","Ideal","F","VS2","62.0","55.0","1563","5.25","5.32","3.28"
"0.38","Ideal","I","VS1","62.3","53.4","703","4.65","4.69","2.91"
"0.77","Very Good","G","VS2","61.3","60.0","2896","5.81","5.91","3.59"
"1.0","Good","E","SI1","63.9","55.0","4646","6.28","6.34","4.03"
"1.55","Premium","J","VS1","62.6","59.0","8749","7.4","7.35","4.62"
"0.55","Premium","F","VS2","62.5","56.0","1746","5.27","5.23","3.28"
"1.53","Premium","F","SI1","58.5","59.0","11820","7.62","7.55","4.44"
"0.9","Premium","H","VS2","61.8","56.0","4082","6.25","6.18","3.84"
"1.0","Premium","F","VVS2","59.9","60.0","8602","6.5","6.46","3.88"
"0.51","Good","E","VS2","56.6","59.0","1781","5.37","5.26","3.01"
"0.43","Ideal","D","VS2","60.7","57.0","1056","4.88","4.91","2.97"
"0.91","Good","G","SI2","63.3","57.0","3340","6.08","6.12","3.86"
"0.41","Ideal","E","VVS1","61.3","56.0","1431","4.81","4.79","2.94"
"1.0","Good","F","VVS2","60.7","62.0","8079","6.36","6.4","3.87"
"1.24","Premium","E","SI1","59.7","59.0","6875","7.07","6.99","4.2"
"0.72","Ideal","F","SI1","62.3","56.0","3004","5.77","5.79","3.6"
"0.7","Ideal","G","VS1","62.6","56.0","2670","5.65","5.7","3.55"
"0.42","Premium","F","VS1","61.8","59.0","1031","4.81","4.83","2.98"
"0.5","Very Good","D","VS2","61.2","56.0","1628","5.14","5.16","3.15"
"1.1","Ideal","G","SI2","62.1","58.0","5361","6.61","6.63","4.11"
"1.01","Ideal","F","VVS2","61.6","56.0","8971","6.43","6.49","3.98"
"0.55","Good","J","VS2","64.1","54.0","1034","5.18","5.21","3.33"
"0.53","Premium","E","VS2","59.9","61.0","1946","5.3","5.25","3.16"
"1.2","Very Good","I","VS2","62.5","59.0","5724","6.73","6.77","4.22"
"1.01","Very Good","G","VS2","63.4","55.0","6406","6.35","6.4","4.04"
"2.53","Premium","H","SI1","62.1","59.0","18254","8.83","8.73","5.45"
"1.07","Ideal","J","SI1","60.8","56.0","3775","6.61","6.57","4.01"
"2.1","Very Good","H","SI2","63.3","57.0","13790","8.2","8.08","5.15"
"0.4","Ideal","G","VS2","62.8","54.0","980","4.7","4.67","2.94"
"1.01","Good","G","VVS2","62.4","59.0","7332","6.32","6.37","3.96"
"0.9","Ideal","E","VS2","62.7","56.0","4770","6.14","6.18","3.86"
"1.5","Premium","D","VS2","62.5","61.0","14675","7.32","7.25","4.55"
"0.32","Ideal","D","SI2","62.4","54.0","477","4.38","4.4","2.74"
"1.22","Premium","H","VS1","62.7","56.0","7105","6.82","6.74","4.25"
"1.11","Premium","G","VS2","59.0","59.0","6713","6.79","6.76","4.0"
"2.8","Good","G","SI2","63.8","58.0","18788","8.9","8.85","0.0"
"0.58","Ideal","F","SI2","62.0","57.0","1332","5.35","5.32","3.31"
"0.56","Ideal","G","IF","61.8","56.0","2442","5.28","5.34","3.28"
"1.5","Very Good","E","VS2","59.4","62.0","12474","7.4","7.48","4.42"
"1.21","Premium","I","SI1","62.8","57.0","5218","6.74","6.67","4.21"
"0.28","Ideal","G","VVS2","61.5","56.0","586","4.22","4.24","2.6"
"1.03","Premium","F","VS2","62.0","58.0","6484","6.5","6.46","4.02"
"1.05","Ideal","G","SI2","62.3","56.0","4561","6.52","6.58","4.08"
"0.4","Premium","G","VVS2","62.0","58.0","982","4.68","4.74","2.92"
"1.19","Premium","H","SI1","62.7","61.0","5698","6.73","6.66","4.2"
"1.6","Premium","G","VVS2","60.6","60.0","16068","7.51","7.57","4.57"
"0.7","Fair","H","SI1","65.2","58.0","2048","5.49","5.55","3.6"
"1.54","Premium","G","VS1","61.1","56.0","14438","7.54","7.48","4.59"
"0.36","Premium","G","SI2","62.4","58.0","608","4.58","4.56","2.85"
"1.22","Premium","I","VS1","59.4","60.0","6504","7.02","6.96","4.15"
"0.48","Premium","H","SI2","58.5","59.0","972","5.16","5.13","3.01"
"0.51","Premium","E","VS2","60.3","59.0","1656","5.2","5.22","3.14"
"0.34","Premium","E","VS2","58.8","59.0","956","4.59","4.56","2.69"
"1.06","Ideal","E","SI1","59.6","54.0","5250","6.64","6.62","3.95"
"1.01","Ideal","E","VS1","62.7","55.0","7665","6.45","6.4","4.03"
"0.42","Ideal","G","VVS1","61.9","56.0","1150","4.8","4.85","2.98"
"1.19","Premium","I","VS2","61.7","57.0","5439","6.84","6.77","4.2"
"0.58","Ideal","D","VVS2","63.0","56.0","2421","5.35","5.28","3.35"
"0.3","Ideal","H","SI1","62.5","53.9","475","4.29","4.32","2.69"
"0.67","Ideal","F","SI2","62.0","58.0","1673","5.6","5.63","3.48"
"0.31","Good","F","VS2","63.7","59.0","583","4.26","4.31","2.73"
"1.01","Premium","E","SI1","58.2","59.0","5366","6.59","6.54","3.82"
"1.6","Premium","I","SI2","60.8","58.0","8630","7.59","7.51","4.59"
"1.51","Premium","H","VS1","59.6","60.0","10655","7.5","7.41","4.44"
"0.37","Ideal","G","IF","61.4","55.0","1056","4.63","4.66","2.85"
"1.6","Ideal","H","SI2","61.5","55.0","8779","7.53","7.55","4.64"
"0.33","Premium","H","VS2","61.4","58.0","668","4.49","4.44","2.74"
"0.72","Ideal","H","SI1","62.0","57.0","2361","5.73","5.76","3.56"
"0.71","Good","H","VVS2","63.0","59.0","2517","5.64","5.67","3.56"
"0.9","Premium","J","VS2","59.8","62.0","2863","6.24","6.21","3.72"
"0.52","Premium","D","SI1","62.0","60.0","1284","5.18","5.11","3.19"
"0.41","Premium","I","VVS2","62.1","58.0","827","4.76","4.78","2.96"
"1.23","Premium","I","SI1","60.3","60.0","4133","6.95","6.88","4.17"
"0.55","Ideal","H","VVS1","61.6","55.0","2303","5.26","5.29","3.25"
"0.7","Very Good","F","SI1","61.4","59.0","2312","5.67","5.7","3.49"
"0.38","Ideal","F","VVS2","61.3","55.0","963","4.71","4.72","2.89"
"1.03","Very Good","F","SI2","62.4","59.0","4503","6.38","6.45","4.0"
"0.86","Ideal","D","SI2","60.2","56.0","3284","6.16","6.19","3.72"
"1.06","Ideal","G","SI2","62.2","55.0","4541","6.56","6.53","4.07"
"1.22","Very Good","J","SI1","58.8","61.0","4969","6.94","7.0","4.1"
"1.29","Premium","G","VS2","58.7","58.0","8842","7.27","7.11","4.22"
"1.04","Ideal","F","VVS2","61.2","57.0","9005","6.5","6.53","3.99"
"0.71","Very Good","G","VS2","60.9","56.0","2895","5.75","5.78","3.51"
"1.25","Very Good","E","VS1","61.5","59.0","10285","6.91","6.95","4.26"
"0.58","Premium","D","VS1","59.2","60.0","2401","5.46","5.41","3.22"
"1.09","Ideal","D","VVS2","61.3","57.0","12185","6.61","6.66","4.07"
"0.5","Fair","E","VS2","65.0","58.0","1188","4.96","4.92","3.21"
"0.91","Fair","F","SI1","64.9","57.0","2971","6.13","6.08","3.96"
"1.7","Premium","H","VS2","62.4","57.0","13298","7.6","7.54","4.72"
"1.4","Ideal","H","SI1","62.4","56.0","8075","7.11","7.18","4.46"
"0.4","Premium","J","IF","62.7","60.0","1063","4.7","4.64","2.93"
"0.83","Very Good","G","SI1","62.3","58.0","3171","5.97","6.01","3.73"
"0.3","Premium","H","VS2","62.2","59.0","608","4.31","4.28","2.67"
"0.75","Very Good","I","SI1","59.1","58.0","2180","5.87","5.91","3.48"
"0.31","Premium","F","VVS1","59.4","58.0","766","4.41","4.45","2.63"
"0.51","Ideal","E","VS2","61.5","57.0","1656","5.09","5.12","3.14"
"0.51","Very Good","D","VS2","60.1","59.0","1877","5.16","5.19","3.11"
"1.5","Premium","H","VS1","61.1","58.0","11007","7.46","7.37","4.53"
"0.41","Good","E","VS1","63.5","54.0","935","4.71","4.74","3.0"
"0.35","Ideal","F","VS2","62.6","56.0","906","4.52","4.49","2.82"
"0.6","Premium","F","VVS2","61.1","58.0","2560","5.41","5.45","3.32"
"2.12","Premium","I","SI2","60.6","59.0","15235","8.3","8.27","5.02"
"0.93","Very Good","F","I1","61.3","59.0","2374","6.22","6.27","3.83"
"1.09","Premium","J","VS1","59.3","57.0","4303","6.79","6.74","4.01"
"0.36","Very Good","D","SI1","63.2","56.0","794","4.56","4.52","2.87"
"0.35","Premium","G","VS1","62.3","59.0","706","4.49","4.53","2.81"
"0.29","Ideal","F","VS2","61.6","56.0","504","4.28","4.32","2.65"
"0.7","Very Good","G","SI2","60.7","58.0","2141","5.74","5.8","3.5"
"0.72","Good","E","SI1","63.7","58.0","2361","5.71","5.66","3.62"
"0.3","Ideal","F","VVS1","61.7","56.0","857","4.33","4.35","2.68"
"1.05","Very Good","H","SI1","60.2","62.0","5047","6.52","6.57","3.94"
"0.51","Ideal","E","VS2","61.8","56.0","1781","5.14","5.12","3.17"
"0.76","Good","I","SI1","64.3","60.0","2326","5.69","5.64","3.64"
"1.11","Ideal","F","VVS1","61.9","57.0","10602","6.66","6.62","4.11"
"0.32","Premium","I","VS1","62.6","58.0","648","4.4","4.38","2.75"
"2.02","Premium","I","VS1","61.2","59.0","17153","8.13","8.05","4.95"
"0.27","Very Good","G","VS1","61.9","56.0","439","4.14","4.17","2.57"
"0.7","Very Good","E","SI2","63.5","54.0","2310","5.69","5.64","3.6"
"0.6","Premium","F","SI1","62.9","59.0","1323","5.39","5.31","3.37"
"0.3","Premium","E","SI1","60.6","58.0","675","4.34","4.3","2.62"
"0.76","Premium","F","SI1","62.0","60.0","2706","5.88","5.76","3.61"
"1.01","Ideal","I","SI1","61.2","56.0","4825","6.48","6.51","3.97"
"0.35","Premium","H","SI2","62.0","58.0","429","4.47","4.5","2.78"
"1.18","Ideal","G","VVS1","61.1","57.0","9095","6.78","6.84","4.16"
"1.52","Premium","H","SI1","62.5","58.0","10078","7.33","7.29","4.57"
"0.47","Ideal","E","VS1","61.2","56.0","1872","5.01","5.05","3.08"
"1.27","Ideal","I","SI2","62.1","56.0","5154","6.92","6.96","4.31"
"0.39","Ideal","I","VS1","62.5","54.0","1047","4.7","4.67","2.92"
"0.59","Ideal","G","VS1","61.1","58.0","1916","5.39","5.41","3.3"
"0.77","Very Good","F","SI2","61.1","59.0","2278","5.85","5.95","3.59"
"1.51","Ideal","F","VS2","62.4","56.0","14247","7.38","7.31","4.58"
"1.51","Ideal","H","VS1","61.2","58.0","10186","7.36","7.42","4.52"
"0.32","Good","H","SI1","63.1","54.0","449","4.36","4.42","2.77"
"0.3","Ideal","E","SI1","61.7","58.0","499","4.29","4.3","2.65"
"0.32","Ideal","E","SI1","61.9","56.0","720","4.43","4.39","2.73"
"0.9","Premium","F","SI2","61.5","59.0","3704","6.23","6.2","3.82"
"2.19","Very Good","I","SI1","60.7","60.0","16397","8.46","8.4","5.12"
"1.32","Good","J","VS1","62.6","62.0","6147","6.92","7.01","4.36"
"0.71","Very Good","I","SI1","60.2","58.0","2063","5.76","5.83","3.49"
"1.36","Ideal","F","VVS1","61.3","57.0","15247","7.13","7.23","4.4"
"1.35","Ideal","J","SI1","61.0","55.0","4423","7.17","7.09","4.35"
"1.1","Ideal","H","SI2","62.6","56.0","4620","6.65","6.57","4.14"
"0.5","Ideal","F","VVS2","62.3","57.0","1850","5.06","5.08","3.16"
"0.33","Very Good","G","VS2","62.1","56.0","579","4.41","4.44","2.75"
"1.01","Very Good","E","VVS1","63.6","55.0","10993","6.35","6.39","4.05"
"0.3","Very Good","D","VS1","61.2","55.0","610","4.32","4.34","2.65"
"0.32","Ideal","E","VVS2","62.0","55.0","842","4.38","4.4","2.72"
"0.74","Premium","G","SI2","62.8","54.0","2328","5.76","5.73","3.61"
"0.33","Ideal","D","SI2","62.4","57.0","631","4.42","4.39","2.75"
"2.01","Good","H","SI1","56.7","58.0","13929","8.31","8.36","4.73"
"0.52","Ideal","G","VVS2","62.3","55.0","1911","5.12","5.16","3.2"
"2.0","Very Good","J","SI1","61.9","59.0","11404","7.96","8.0","4.94"
"0.7","Ideal","H","SI2","63.1","54.0","1973","5.64","5.68","3.57"
"1.24","Ideal","E","VS2","62.0","57.0","9240","6.87","6.9","4.27"
"0.4","Very Good","H","VS2","59.1","61.0","737","4.81","4.84","2.85"
"1.57","Very Good","I","VS1","59.7","61.0","10336","7.51","7.62","4.52"
"0.34","Very Good","D","VS2","62.9","55.0","805","4.43","4.47","2.8"
"0.91","Ideal","I","VS2","62.2","59.0","3726","6.13","6.18","3.83"
"0.53","Ideal","F","VS1","62.2","55.0","1908","5.22","5.17","3.23"
"1.02","Premium","H","SI2","59.8","59.0","4284","6.54","6.5","3.9"
"0.75","Very Good","E","VS2","60.4","56.0","3817","5.9","5.96","3.58"
"0.31","Ideal","G","VVS1","61.3","56.0","789","4.37","4.41","2.69"
"1.06","Ideal","F","VVS2","61.3","57.0","9547","6.56","6.59","4.03"
"0.3","Premium","D","VS2","62.0","62.0","851","4.27","4.24","2.64"
"0.71","Good","G","SI1","63.9","56.0","2215","5.62","5.59","3.58"
"0.41","Ideal","F","VS1","62.1","56.0","1076","4.8","4.77","2.97"
"0.23","Ideal","G","SI1","62.0","54.0","364","3.95","3.99","2.46"
"0.54","Ideal","E","VS2","60.8","57.0","1754","5.24","5.29","3.2"
"0.71","Very Good","D","VS1","62.9","57.0","2910","5.6","5.66","3.54"
"0.71","Premium","E","SI2","62.2","57.0","2386","5.74","5.68","3.55"
"0.73","Ideal","D","VS2","62.1","56.0","3182","5.77","5.8","3.59"
"0.35","Ideal","G","VVS2","61.8","55.0","756","4.54","4.56","2.81"
"1.02","Premium","G","SI1","62.2","58.0","4435","6.44","6.48","4.02"
"1.82","Premium","I","VS1","61.4","60.0","13939","7.83","7.8","4.8"
"1.07","Premium","H","SI1","60.0","60.0","5123","6.65","6.61","3.98"
"1.22","Ideal","I","VS1","62.9","54.0","6887","6.83","6.79","4.29"
"0.53","Ideal","G","VVS2","61.7","56.0","1948","5.2","5.23","3.22"
"1.0","Very Good","F","SI2","63.2","59.0","3799","6.31","6.25","3.97"
"0.3","Ideal","G","IF","62.1","55.0","863","4.32","4.34","2.69"
"1.14","Premium","H","SI1","62.1","59.0","4463","6.73","6.61","4.14"
"0.54","Good","D","SI1","57.9","60.0","1767","5.36","5.39","3.11"
"0.3","Ideal","F","VS1","61.8","55.0","795","4.32","4.36","2.68"
"0.5","Ideal","E","SI2","62.5","57.0","1240","5.07","5.04","3.16"
"0.37","Ideal","J","SI1","62.2","53.0","451","4.63","4.67","2.89"
"0.91","Premium","I","VS2","62.7","58.0","3579","6.14","6.18","3.86"
"0.41","Good","F","SI1","63.4","57.0","705","4.73","4.74","3.0"
"1.61","Premium","H","SI2","60.3","60.0","9167","7.66","7.57","4.59"
"1.14","Ideal","H","VS2","62.0","55.0","7059","6.71","6.72","4.16"
"1.05","Very Good","E","VS2","62.2","57.0","6865","6.44","6.56","4.04"
"1.51","Very Good","E","SI1","62.8","59.0","11460","7.26","7.3","4.57"
"0.39","Ideal","F","VS1","62.2","56.0","958","4.63","4.7","2.9"
"0.4","Premium","D","VS2","61.7","59.0","1050","4.76","4.73","2.93"
"0.31","Very Good","D","SI2","63.1","54.0","593","4.38","4.33","2.75"
"1.01","Premium","G","SI1","63.0","59.0","4338","6.32","6.27","3.96"
"0.32","Ideal","G","VS1","61.2","57.0","828","4.43","4.4","2.7"
"0.31","Ideal","E","IF","61.9","54.0","987","4.38","4.41","2.72"
"0.9","Very Good","H","SI2","62.4","58.0","3250","6.11","6.16","3.83"
"1.51","Fair","H","SI1","65.4","59.0","9386","7.17","7.11","4.67"
"0.71","Premium","G","SI2","60.6","59.0","2147","5.78","5.74","3.49"
"0.3","Very Good","E","VS2","62.9","58.0","658","4.22","4.27","2.67"
"1.07","Ideal","I","VS2","62.1","56.0","4764","6.61","6.53","4.08"
"0.71","Fair","H","VS2","62.1","70.0","1832","5.67","5.6","3.5"
"0.32","Ideal","G","VVS2","61.7","57.0","730","4.41","4.44","2.73"
"1.14","Premium","J","SI1","62.4","59.0","3792","6.7","6.62","4.16"
"0.73","Ideal","E","SI2","60.4","56.0","2434","5.81","5.89","3.54"
"0.35","Very Good","I","VS2","62.6","54.0","527","4.5","4.53","2.82"
"1.51","Ideal","E","VS2","61.1","57.0","13157","7.43","7.41","4.53"
"1.13","Premium","H","SI2","62.7","55.0","4746","6.69","6.61","4.17"
"1.01","Good","E","VS2","63.5","58.0","6666","6.34","6.36","4.03"
"1.01","Premium","D","VVS2","62.4","60.0","10221","6.31","6.36","3.95"
"1.55","Ideal","H","SI2","62.0","58.0","9044","7.44","7.39","4.6"
"1.6","Premium","F","SI1","60.5","58.0","12343","7.62","7.53","4.58"
"3.01","Fair","I","SI2","65.8","56.0","18242","8.99","8.94","5.9"
"1.01","Very Good","H","SI1","63.3","57.0","4707","6.41","6.36","4.04"
"0.33","Ideal","G","IF","61.3","55.0","946","4.49","4.51","2.76"
"0.31","Premium","I","VS1","59.2","60.0","489","4.4","4.45","2.62"
"0.58","Ideal","H","SI1","60.2","57.0","1421","5.47","5.43","3.28"
"0.33","Premium","D","VVS2","60.4","60.0","1052","4.51","4.46","2.71"
"0.2","Very Good","E","VS2","63.4","59.0","367","3.74","3.71","2.36"
"1.58","Ideal","H","SI1","62.5","57.0","10345","7.43","7.39","4.63"
"1.0","Premium","G","SI2","62.2","57.0","3998","6.29","6.25","3.9"
"1.0","Premium","E","VS2","62.8","60.0","6720","6.36","6.32","3.98"
"1.01","Premium","G","SI2","60.1","59.0","4327","6.55","6.46","3.91"
"0.57","Premium","E","SI2","61.0","60.0","1320","5.36","5.32","3.26"
"0.36","Very Good","E","VVS2","60.2","59.0","742","4.6","4.64","2.78"
"0.7","Good","F","VS1","59.4","62.0","2759","5.71","5.76","3.4"
"0.51","Ideal","F","VS1","61.7","55.0","2085","5.14","5.17","3.18"
"0.31","Good","D","SI2","63.9","57.0","462","4.28","4.33","2.75"
"0.93","Good","G","VS1","63.8","59.0","4425","6.21","6.15","3.94"
"0.3","Very Good","H","SI1","61.3","58.0","421","4.29","4.33","2.64"
"0.33","Ideal","F","VS1","61.2","56.0","928","4.49","4.46","2.74"
"0.71","Ideal","F","SI2","61.2","55.0","2365","5.77","5.79","3.54"
"0.7","Very Good","D","VS1","63.1","59.0","2755","5.67","5.58","3.55"
"2.33","Premium","J","SI1","61.1","58.0","11638","8.6","8.56","5.24"
"0.41","Ideal","G","IF","61.6","55.0","1259","4.78","4.83","2.96"
"0.77","Very Good","E","SI1","63.2","58.0","2873","5.8","5.84","3.68"
"1.02","Very Good","H","VS2","60.0","63.0","4604","6.54","6.49","3.91"
"0.41","Ideal","F","VS1","62.1","56.0","1076","4.76","4.74","2.95"
"0.42","Ideal","I","SI1","61.8","55.0","833","4.81","4.83","2.98"
"0.33","Ideal","H","VS1","61.9","56.0","579","4.44","4.48","2.76"
"0.51","Ideal","F","VS1","61.9","56.0","1836","5.17","5.11","3.18"
"0.7","Very Good","E","VS1","61.9","61.0","3235","5.59","5.65","3.48"
"0.97","Ideal","J","I1","61.6","54.0","2370","6.34","6.28","3.89"
"0.31","Premium","G","IF","61.6","55.0","988","4.42","4.38","2.71"
"1.08","Very Good","E","SI2","63.4","56.0","4857","6.55","6.5","4.14"
"0.44","Ideal","G","VS1","61.9","54.0","915","4.89","4.93","3.04"
"0.7","Premium","D","SI2","60.6","58.0","2596","5.75","5.7","3.47"
"1.01","Premium","G","SI1","62.6","60.0","5006","6.36","6.29","3.96"
"0.91","Premium","D","SI2","61.1","60.0","4051","6.29","6.24","3.83"
"0.36","Ideal","F","SI1","61.6","56.0","718","4.62","4.57","2.83"
"0.3","Ideal","E","VS2","62.6","54.0","658","4.29","4.33","2.7"
"0.7","Premium","F","SI1","61.9","58.0","2319","5.69","5.65","3.51"
"0.46","Good","F","IF","57.5","58.0","1806","5.12","5.18","2.96"
"0.34","Ideal","E","SI1","62.9","55.0","765","4.5","4.47","2.82"
"1.26","Very Good","H","SI1","62.1","57.0","6320","6.88","6.94","4.29"
"1.7","Premium","I","SI2","62.9","59.0","9330","7.57","7.51","4.74"
"0.32","Ideal","H","VVS1","62.1","54.0","730","4.4","4.42","2.74"
"0.7","Premium","G","VS1","62.6","60.0","2535","5.66","5.58","3.52"
"1.04","Ideal","G","SI2","62.4","54.0","5044","6.49","6.53","4.06"
"1.51","Good","I","SI1","63.9","59.0","9069","7.18","7.26","4.61"
"0.92","Good","H","VS1","62.3","63.0","4116","6.18","6.3","3.88"
"0.34","Ideal","E","VS2","62.2","57.0","646","4.42","4.46","2.76"
"0.71","Ideal","D","SI1","61.9","59.0","2764","5.69","5.72","3.53"
"0.3","Good","J","VS1","63.5","58.0","394","4.24","4.27","2.7"
"0.41","Ideal","J","VS2","62.4","55.0","613","4.75","4.77","2.97"
"1.56","Ideal","H","SI1","62.2","55.0","12082","7.41","7.45","4.62"
"0.3","Ideal","H","SI1","61.9","54.0","514","4.31","4.34","2.68"
"2.19","Good","G","SI1","63.7","56.0","13978","8.26","8.17","5.23"
"1.39","Premium","G","VS2","62.0","56.0","8874","7.18","7.14","4.44"
"0.5","Fair","F","I1","63.8","58.0","713","5.08","4.97","3.21"
"1.22","Very Good","J","VS2","60.8","56.0","5160","6.95","6.91","4.21"
"0.32","Ideal","G","VS2","61.6","54.0","560","4.4","4.43","2.72"
"1.01","Premium","I","SI1","62.9","58.0","4242","6.37","6.34","4.0"
"0.46","Fair","F","SI1","66.3","56.0","984","4.86","4.79","3.2"
"0.31","Ideal","E","VS2","61.4","54.0","680","4.33","4.4","2.68"
"1.5","Premium","I","SI1","62.3","57.0","7955","7.28","7.22","4.52"
"0.3","Ideal","G","VS1","61.8","55.0","776","4.33","4.31","2.67"
"1.0","Premium","I","SI2","61.6","59.0","3712","6.34","6.41","3.93"
"0.37","Premium","F","VS2","61.2","58.0","746","4.63","4.69","2.85"
"0.35","Ideal","D","VVS2","60.8","56.0","1162","4.58","4.6","2.79"
"0.9","Very Good","G","SI2","62.0","59.0","3445","6.14","6.19","3.82"
"0.71","Ideal","D","VS2","61.4","57.0","3222","5.73","5.77","3.53"
"0.32","Ideal","F","VS2","62.5","56.0","828","4.4","4.37","2.74"
"2.02","Premium","H","SI1","63.0","60.0","13453","7.85","7.79","4.93"
"0.43","Ideal","G","VVS1","62.0","55.0","1207","4.82","4.85","3.0"
"0.75","Ideal","D","VS2","61.7","55.0","3562","5.85","5.82","3.6"
"2.24","Very Good","H","SI2","62.3","57.0","16077","8.3","8.36","5.19"
"1.39","Ideal","H","VVS2","61.2","54.0","9298","7.23","7.25","4.43"
"0.6","Fair","E","SI2","66.5","56.0","1033","5.31","5.21","3.5"
"2.01","Very Good","J","SI1","61.6","60.0","12084","7.99","8.02","4.93"
"0.4","Ideal","E","VS1","61.3","56.0","1252","4.76","4.8","2.93"
"0.24","Very Good","F","VVS2","61.9","56.0","538","4.0","4.02","2.48"
"0.71","Very Good","I","VVS1","63.0","58.0","2549","5.6","5.67","3.55"
"0.41","Fair","D","VVS2","64.5","57.0","1089","4.68","4.65","3.01"
"1.21","Ideal","F","VS2","62.6","55.0","6261","6.81","6.74","4.24"
"0.4","Premium","D","SI2","63.0","59.0","798","4.69","4.64","2.94"
"0.91","Ideal","F","SI1","62.3","56.0","4267","6.16","6.19","3.85"
"0.44","Ideal","E","VVS2","60.9","57.0","1334","4.95","4.9","3.0"
"0.33","Premium","H","VS1","60.2","62.0","743","4.47","4.44","2.68"
"0.42","Premium","G","SI1","62.2","58.0","945","4.75","4.73","2.95"
"0.53","Ideal","H","SI2","61.5","56.0","1000","5.21","5.23","3.21"
"0.9","Very Good","H","VVS1","62.1","59.0","4664","6.17","6.19","3.84"
"0.6","Very Good","G","IF","61.6","56.0","2800","5.43","5.46","3.35"
"0.25","Very Good","E","VVS2","63.0","55.0","575","4.0","4.03","2.53"
"0.35","Premium","E","SI1","59.7","60.0","614","4.53","4.58","2.72"
"0.74","Premium","E","SI2","62.2","57.0","2002","5.79","5.77","3.59"
"0.25","Premium","E","VVS2","62.5","59.0","740","4.05","4.02","2.52"
"0.35","Ideal","E","VS1","61.9","56.0","1063","4.53","4.51","2.8"
"0.3","Ideal","F","VS2","62.5","55.0","776","4.31","4.27","2.68"
"0.54","Ideal","F","VVS1","61.8","56.0","2882","5.23","5.26","3.24"
"1.14","Ideal","G","VS1","62.5","56.0","7255","6.69","6.66","4.17"
"1.44","Ideal","G","VS1","62.6","57.0","12093","7.21","7.19","4.51"
"1.2","Premium","F","SI2","62.5","59.0","5332","6.74","6.68","4.2"
"1.21","Premium","H","SI2","62.9","58.0","4913","6.74","6.69","4.23"
"1.24","Premium","G","IF","60.5","58.0","10584","6.94","7.0","4.22"
"0.52","Premium","E","VS2","60.7","58.0","1815","5.21","5.17","3.15"
"1.51","Premium","H","VS2","62.3","59.0","11435","7.28","7.32","4.55"
"1.57","Premium","J","VS1","60.8","61.0","7190","7.6","7.49","4.59"
"1.14","Premium","F","SI2","62.9","59.0","4737","6.64","6.62","4.17"
"0.3","Fair","F","SI1","64.6","56.0","599","4.27","4.25","2.75"
"0.39","Very Good","H","SI2","60.4","60.0","588","4.74","4.8","2.88"
"1.0","Very Good","G","VS2","62.7","59.0","6208","6.32","6.38","3.98"
"0.71","Premium","F","SI2","62.6","59.0","2072","5.64","5.6","3.52"
"0.33","Premium","G","VS2","62.6","58.0","743","4.44","4.41","2.77"
"0.4","Ideal","G","SI2","61.8","56.0","654","4.75","4.77","2.94"
"0.4","Good","J","VS1","64.0","56.0","567","4.66","4.69","2.99"
